hh_index	plot_index	pinst	plot_id	plot_name	plot_area_a	plot_area_u	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p_id	p_uuid	p_submission_time	p_index	p_parent_table_name	p_parent_index	p_tags	p_notes	p_version	p_duration	p_submitted_by
15.0	81.0	6	6	"Garden"	0.1	1	0.0	6		6		1		"1981-01-01"	0				1	"2017-01-01"	0					81	"APS_tz17_hh"	15					
16.0	82.0	1	1	"Maize and pegeon pea"	1.5	1	2.0	1		2		1		"1974-01-01"	0				0		0					82	"APS_tz17_hh"	16					
16.0	83.0	2	2	"Tobacco"	16.0	1	15.0	2		2		1		"1991-01-01"	0				0		0					83	"APS_tz17_hh"	16					
16.0	84.0	3	3	"Zanzibar"	15.0	1	15.0	1		2		1		"2004-01-01"	0				0		0					84	"APS_tz17_hh"	16					
17.0	85.0	1	1	"Maize"	1.0	1	2.0	1		2		1		"2013-01-01"	0				0		0					85	"APS_tz17_hh"	17					
17.0	86.0	2	2	"Maize"	1.5	1	2.0	1		2		1		"2002-01-01"	0				0		0					86	"APS_tz17_hh"	17					
17.0	87.0	3	3	"Pigeon pea"	1.5	1	4.0	1		2		1		"2002-01-01"	0				0		0					87	"APS_tz17_hh"	17					
18.0	88.0	1	1	"Darajani . Focal plot Maize Pigeonpea"	0.75	1	0.25	1		2		1		"1989-01-01"	0				0		0					88	"APS_tz17_hh"	18					
18.0	89.0	2	2	"Rujijili. Pigeonpea"	4.0	1	2.0	1		2		1		"1985-01-01"	0				0		0					89	"APS_tz17_hh"	18					
18.0	90.0	3	3	"Litandalimo. Maize Pigeonpea Simsim"	10.0	1	5.0	1		2		1		"2004-01-01"	0				0		0					90	"APS_tz17_hh"	18					
19.0	91.0	1	1	"Darajani. Maize"	2.25	1	0.25	1		2		1		"2010-01-01"	0				0		0					91	"APS_tz17_hh"	19					
19.0	92.0	2	2	"Darajani .Beans"	0.5	1	0.25	1		2		1		"2010-01-01"	0				0		0					92	"APS_tz17_hh"	19					
19.0	93.0	3	3	"Garden. Amaranthus and Chinesse"	0.25	1	0.0	6		2		1		"2012-01-01"	0				0		0					93	"APS_tz17_hh"	19					
19.0	94.0	4	4	"\"Rujiji. Maize, Pigeonpea\""	1.0	1	0.5	1		2		1		"2010-01-01"	0				0		0					94	"APS_tz17_hh"	19					
20.0	95.0	1	1	"Namanyengele"	2.0	1	3.0	1		2		1		"2005-01-01"	0				0		0					95	"APS_tz17_hh"	20					
20.0	96.0	2	2	"Namanyengele"	10.0	1	3.5	1		2		1		"2005-01-01"	0				0		0					96	"APS_tz17_hh"	20					
20.0	97.0	3	3	"Namanyengele"	1.0	1	3.0	1		2		1		"2005-01-01"	0				0		0					97	"APS_tz17_hh"	20					
20.0	98.0	4	4	"Mtesuka"	2.0	1	2.5	1		2		1		"2005-01-01"	0				0		0					98	"APS_tz17_hh"	20					
20.0	99.0	5	5	"Bondeni"	8.0	1	4.0	2		2		1		"2005-01-01"	0				0		0					99	"APS_tz17_hh"	20					
21.0	100.0	1	1	"Namanyengele"	1.0	1	4.0	1		2		1		"1980-01-01"	0				0		0					100	"APS_tz17_hh"	21					
21.0	101.0	2	2	"Namanyengele"	1.0	1	4.0	1		2		1		"1980-01-01"	0				0		0					101	"APS_tz17_hh"	21					
21.0	102.0	3	3	"Maposeni"	0.75	1	1.0	1		2		1		"1974-01-01"	0				0		0					102	"APS_tz17_hh"	21					
21.0	103.0	4	4	"Bondeni"	15.0	1	4.5	2		2		1		"1980-01-01"	0				0		0					103	"APS_tz17_hh"	21					
22.0	104.0	1	1	"Namnyengele"	1.0	1	4.0	1		2		1		"1990-01-01"	0				0		0					104	"APS_tz17_hh"	22					
22.0	105.0	2	2	"Meleweni"	1.0	1	1.0	1		2		1		"1990-01-01"	0				0		0					105	"APS_tz17_hh"	22					
23.0	106.0	1	1	"Namanyengele"	1.0	1	4.0	1		2		4		"2014-01-01"	0				0		0					106	"APS_tz17_hh"	23					
23.0	107.0	2	2	"Nyumbani"	0.75	1	0.0	1		2		4		"2017-01-01"	0				0		0					107	"APS_tz17_hh"	23					
23.0	108.0	3	3	"Shamba"	1.0	1	4.5	2		2		4		"2016-01-01"	0				0		0					108	"APS_tz17_hh"	23					
24.0	109.0	1	1	"Mahindi"	2.0	1	4.0	1		2		1		"1987-01-01"	0				0		1	"2017-01-01"				109	"APS_tz17_hh"	24					
24.0	110.0	2	2	"\"Soya farm\n\""	1.5	1	3.5	1		2		1		"1987-01-01"	0				0		1	"2017-01-01"				110	"APS_tz17_hh"	24					
24.0	111.0	3	3	"Kibandani"	1.0	1	5.0	1		2		1		"1989-01-01"	0				0		0					111	"APS_tz17_hh"	24					
24.0	112.0	4	4	"Manjonda"	1.0	1	6.0	1		2		1		"2015-01-01"	0				0		0					112	"APS_tz17_hh"	24					
24.0	113.0	5	5	"Nyumbani"	1.0	1	0.0	1		2		1		"2006-01-01"	0				0		0					113	"APS_tz17_hh"	24					
24.0	114.0	6	6	"Bustani"	1.0	1	2.0	2		2		1		"2016-01-01"	0				0		0					114	"APS_tz17_hh"	24					
25.0	115.0	1	1	"Namanyere A"	1.5	1	3.0	1		2		2		"1987-01-01"	1	6		"1987-01-01"	0		1	"2017-01-01"				115	"APS_tz17_hh"	25					
25.0	116.0	2	2	"Namanyere A"	1.5	1	3.0	1		2		3		"1987-01-01"	1	6		"1987-01-01"	0		1	"2017-01-01"				116	"APS_tz17_hh"	25					
25.0	117.0	3	3	"3"	1.5	1	1.0	2		2		3		"1986-01-01"	1	6		"1986-01-01"	0		1	"2017-01-01"				117	"APS_tz17_hh"	25					
25.0	118.0	4	4	"Namanyere C"	5.0	1	3.5	2		2		3		"1987-01-01"	1	6		"1987-01-01"	0		0					118	"APS_tz17_hh"	25					
25.0	119.0	5	5	"Bustani ya miwa"	1.0	1	2.0	6		6		4		"2014-01-01"	0				1	"2014-01-01"	0					119	"APS_tz17_hh"	25					
26.0	120.0	1	1	"Bondeni"	1.25	1	3.0	1		2		2		"1994-01-01"	1	6		"1996-01-01"	0		0					120	"APS_tz17_hh"	26					
26.0	121.0	2	2	"Bondeni2"	1.75	1	3.0	1		2		2		"1994-01-01"	1	6		"1996-01-01"	0		0					121	"APS_tz17_hh"	26					
26.0	122.0	3	3	"Mbaazi"	0.5	1	0.0	1		2		2		"1994-01-01"	1	6		"1996-01-01"	0		0					122	"APS_tz17_hh"	26					
26.0	123.0	4	4	"Mpunga"	0.5	1	1.0	1		2		2		"1994-01-01"	1	6		"1996-01-01"	0		0					123	"APS_tz17_hh"	26					
26.0	124.0	5	5	"Maize"	1.0	1	0.0	1		2		2		"1994-01-01"	1	6		"1996-01-01"	0		0					124	"APS_tz17_hh"	26					
26.0	125.0	6	6	"Pori"	1.0	1	1.0	2		2		2		"1994-01-01"	1	6		"1996-01-01"	0		0					125	"APS_tz17_hh"	26					
27.0	126.0	1	1	"Shamba jipya"	1.5	1	3.0	1		2		1		"1997-01-01"	0				0		0					126	"APS_tz17_hh"	27					
27.0	127.0	2	2	"Bondeni"	1.5	1	3.0	1		2		1		"1997-01-01"	0				0		0					127	"APS_tz17_hh"	27					
28.0	128.0	1	1	"Ng'ambo 1"	2.75	1	3.5	1		2		1		"1989-01-01"	0				0		0					128	"APS_tz17_hh"	28					
28.0	129.0	2	2	"Ng'ambo2"	1.0	1	3.5	1		2		1		"1989-01-01"	0				0		0					129	"APS_tz17_hh"	28					
28.0	130.0	3	3	"Ng'ambo3"	1.0	1	3.5	1		2		1		"1989-01-01"	0				0		0					130	"APS_tz17_hh"	28					
28.0	131.0	4	4	"Ng'anbo4"	1.0	1	3.5	1		2		1		"1989-01-01"	0				0		0					131	"APS_tz17_hh"	28					
28.0	132.0	5	5	"Ng'ambo5"	0.75	1	3.5	2		2		1		"1989-01-01"	0				0		0					132	"APS_tz17_hh"	28					
29.0	133.0	1	1	"Mwembeni"	6.0	1	2.0	1		2		1		"1985-01-01"	0				0		0					133	"APS_tz17_hh"	29					
29.0	134.0	2	2	"Kibandani"	8.0	1	2.0	1		2		1		"1985-01-01"	0				0		0					134	"APS_tz17_hh"	29					
30.0	135.0	1	1	"Maize Pigeonpea"	2.25	1	1.25	1		2		1		"2012-01-01"	0				0		0					135	"APS_tz17_hh"	30					
30.0	136.0	2	2	"Maize"	1.0	1	0.75	1		2		1		"2015-01-01"	0				0		0					136	"APS_tz17_hh"	30					
31.0	137.0	1	1	"Kwenye vibanda ( shaman la Kati )"	4.0	1	2.0	1		2		1		"1997-01-01"	0				0		0					137	"APS_tz17_hh"	31					
31.0	138.0	2	2	"Nyumbani 1"	1.0	1	0.0	1		2		1		"1995-01-01"	0				0		0					138	"APS_tz17_hh"	31					
31.0	139.0	3	3	"3"	4.5	1	2.0	1		2		1		"1997-01-01"	0				0		0					139	"APS_tz17_hh"	31					
31.0	140.0	4	4	"Nyumbani 2"	1.0	1	0.0	1		2		1		"1995-01-01"	0				0		0					140	"APS_tz17_hh"	31					
31.0	141.0	5	5	"Maposeni"	5.0	1	0.14	2		2		1		"1995-01-01"	0				0		0					141	"APS_tz17_hh"	31					
31.0	142.0	6	6	"Mtukano"	5.0	1	2.0	2		2		1		"1997-01-01"	0				0		0					142	"APS_tz17_hh"	31					
32.0	143.0	1	1	"Mtukano 1"	3.0	1	2.2	1		2		1		"2000-01-01"	0				0		0					143	"APS_tz17_hh"	32					
32.0	144.0	2	2	"Mtukano 2"	1.0	1	2.2	1		2		1		"2000-01-01"	0				0		0					144	"APS_tz17_hh"	32					
32.0	145.0	3	3	"Ng'ambo"	7.0	1	2.2	2		2		1		"2010-01-01"	0				0		0					145	"APS_tz17_hh"	32					
33.0	146.0	1	1	"Maize Pigeonpea"	2.0	1	1.5	1		2		1		"1995-01-01"	0				0		0					146	"APS_tz17_hh"	33					
33.0	147.0	2	2	"\"Maize, Pigeonpea and Cowpea\""	6.0	1	1.5	1		2		1		"1995-01-01"	0				0		0					147	"APS_tz17_hh"	33					
33.0	148.0	3	3	"Fallow"	1.0	1	1.5	2		2		1		"1995-01-01"	0				0		0					148	"APS_tz17_hh"	33					
34.0	149.0	1	1	"Mtukano 1"	0.25	1	3.5	1		2		6		"2015-01-01"	0				0		0					149	"APS_tz17_hh"	34					
34.0	150.0	2	2	"Mtesuka 1"	2.0	1	7.0	1		2		1		"2000-01-01"	0				0		0					150	"APS_tz17_hh"	34					
34.0	151.0	3	3	"Home "	0.5	1	0.0	1		2		1		"2012-01-01"	0				0		0					151	"APS_tz17_hh"	34					
34.0	152.0	4	4	"Mtukano 2"	0.25	1	3.5	1		2		1		"2000-01-01"	0				0		0					152	"APS_tz17_hh"	34					
34.0	153.0	5	5	"Mtesuka 2"	2.0	1	7.0	2		2		1		"2000-01-01"	0				0		0					153	"APS_tz17_hh"	34					
34.0	154.0	6	6	"Mtukano 3"	1.75	1	3.5	2		2		6		"2015-01-01"	0				0		0					154	"APS_tz17_hh"	34					
35.0	155.0	1	1	"Mtesuka 1"	6.0	1	1.5	1		2		3		"2012-01-01"	1	3		"2012-01-01"	0		0					155	"APS_tz17_hh"	35					
35.0	156.0	2	2	"Mtesuka 2"	0.25	1	2.0	1		2		3		"2012-01-01"	1	3		"2012-01-01"	0		0					156	"APS_tz17_hh"	35					
35.0	157.0	3	3	"Mtesuka 3"	0.25	1	2.0	1		1		3		"2012-01-01"	1	3		"2012-01-01"	1	"2012-01-01"	0					157	"APS_tz17_hh"	35					
35.0	158.0	4	4	"Namanyengele "	5.0	1	4.0	2		2		3		"2015-01-01"	1	3		"2015-01-01"	0		0					158	"APS_tz17_hh"	35					
36.0	159.0	1	1	"Liegeyo"	0.5	1	2.0	1		2		1		"1965-01-01"	0				0		0					159	"APS_tz17_hh"	36					
36.0	160.0	2	2	"Liegeyo"	2.0	1	2.0	1		2		1		"1965-01-01"	0				0		0					160	"APS_tz17_hh"	36					
36.0	161.0	3	3	"Liegeyo"	3.0	1	2.5	4		4		1		"1971-01-01"	0				0		0					161	"APS_tz17_hh"	36					
36.0	162.0	4	4	"Liegeyo"	1.0	1	2.0	2		2		1		"1965-01-01"	0				0		0					162	"APS_tz17_hh"	36					
37.0	163.0	1	1	"M inazini Kanisa la Upendo"	1.0	1	2.0	1		2		1		"2016-01-01"	0				0		0					163	"APS_tz17_hh"	37					
37.0	164.0	2	2	"M inazini kanisa la Upendo"	0.5	1	2.0	1		2		1		"2015-01-01"	0				0		0					164	"APS_tz17_hh"	37					
38.0	165.0	1	1	"Masimahu"	1.0	1	5.0	1		2		1		"1994-01-01"	0				0		0					165	"APS_tz17_hh"	38					
38.0	166.0	2	2	"Masimahu"	0.5	1	5.0	1		2		1		"1996-01-01"	0				0		0					166	"APS_tz17_hh"	38					
38.0	167.0	3	3	"Masimahu"	1.5	1	4.5	1		2		1		"1994-01-01"	0				0		0					167	"APS_tz17_hh"	38					
38.0	168.0	4	4	"Masimahu"	1.0	1	5.0	1		2		1		"1996-01-01"	0				0		0					168	"APS_tz17_hh"	38					
38.0	169.0	5	5	"Masimahu"	0.5	1	5.5	1		2		1		"2017-01-01"	0				0		0					169	"APS_tz17_hh"	38					
39.0	170.0	1	1	"Namanyengele"	5.0	1	10.0	1		2		1		"2012-01-01"	0				0		0					170	"APS_tz17_hh"	39					
39.0	171.0	2	2	".Kilimani"	0.5	1	0.0	6		2		1		"2010-01-01"	0				0		0					171	"APS_tz17_hh"	39					
40.0	172.0	1	1	"Mtesuuka1"	2.0	1	2.0	1		2		1		"2007-01-01"	0				0		0					172	"APS_tz17_hh"	40					
40.0	173.0	2	2	"Mtesuuka2"	1.0	1	2.0	1		2		1		"2006-01-01"	0				0		0					173	"APS_tz17_hh"	40					
40.0	174.0	3	3	"Umelawene"	0.5	1	1.0	1		2		1		"2006-01-01"	0				0		0					174	"APS_tz17_hh"	40					
40.0	175.0	4	4	"Mtesuuka3"	1.0	1	2.0	2		2		1		"2007-01-01"	0				0		0					175	"APS_tz17_hh"	40					
41.0	176.0	1	1	"Maize"	4.0	1	2.0	1		2		1		"2015-01-01"	0				0		0					176	"APS_tz17_hh"	41					
41.0	177.0	2	2	"Soya"	3.0	1	2.0	1		2		1		"2008-01-01"	0				0		0					177	"APS_tz17_hh"	41					
41.0	178.0	3	3	"Pigeon pea"	2.0	1	2.0	1		2		1		"2009-01-01"	0				0		0					178	"APS_tz17_hh"	41					
42.0	179.0	1	1	"Maize"	3.5	1	3.0	1		5		1		"1993-01-01"	0				0		0					179	"APS_tz17_hh"	42					
42.0	180.0	2	2	"Jirani"	5.0	1	1.0	2		2		1		"1983-01-01"	0				0		0					180	"APS_tz17_hh"	42					
42.0	181.0	3	3	"Milimani"	2.5	1	3.0	2		2		1		"1983-01-01"	0				0		0					181	"APS_tz17_hh"	42					
42.0	182.0	4	4	"Garden"	2.5	1	3.0	2		6		1		"1993-01-01"	0				0		0					182	"APS_tz17_hh"	42					
42.0	183.0	5	5	"Sweet potoes"	1.0	1	3.0	1		2		1		"1993-01-01"	0				0		0					183	"APS_tz17_hh"	42					
43.0	184.0	1	1	"Mtimateke"	1.0	1	5.0	1		2		1		"1997-01-01"	0				0		0					184	"APS_tz17_hh"	43					
43.0	185.0	2	2	"Mtimateke"	6.0	1	5.0	1		2		1		"1997-01-01"	0				0		0					185	"APS_tz17_hh"	43					
43.0	186.0	3	3	"Mtimateke"	1.0	1	5.0	8		8		1		"1997-01-01"	0				0		0					186	"APS_tz17_hh"	43					
44.0	187.0	1	1	"Mtimateke"	1.5	1	5.0	1		2		1		"2005-01-01"	0				0		0					187	"APS_tz17_hh"	44					
44.0	188.0	2	2	"Mtimateke"	4.5	1	5.0	1		2		1		"2005-01-01"	0				0		0					188	"APS_tz17_hh"	44					
44.0	189.0	3	3	"Rented"	2.0	1	1.0	1		2		1		"2017-01-01"	0				0		0					189	"APS_tz17_hh"	44					
