hh_index	psc_index	sc1	sc2	sc3	scropped_flag	sc5	s_maxcrops	s_mincrops	sc6	rgrp5_count	psc_id	psc_uuid	psc_submission_time	psc_parent_table_name	psc_parent_index	psc_tags	psc_notes	psc_version	psc_duration	psc_submitted_by
4.0	26	3	"Mgunjima 2"	3	2									"APS_tz17_hh"	4					
5.0	27	1	"Home"	1	2									"APS_tz17_hh"	5					
5.0	28	2	"Kitoji"	2	2									"APS_tz17_hh"	5					
5.0	29	3	"Bondeni"	3	2									"APS_tz17_hh"	5					
5.0	30	4	"Mbenue"	4	2									"APS_tz17_hh"	5					
6.0	31	1	"Nandungutu"	1	2									"APS_tz17_hh"	6					
7.0	32	1	"Mahindi"	1	2									"APS_tz17_hh"	7					
7.0	33	2	"Mahindi na mbaazi"	2	2									"APS_tz17_hh"	7					
7.0	34	3	"Bondeni"	3	2									"APS_tz17_hh"	7					
8.0	35	1	"Mahindi mbaazi"	1	2									"APS_tz17_hh"	8					
8.0	36	2	"Mbaazi mahindi"	2	2									"APS_tz17_hh"	8					
8.0	37	3	"Bondeni"	3	2									"APS_tz17_hh"	8					
8.0	38	4	"Mahindi mbaazi"	4	2									"APS_tz17_hh"	8					
9.0	39	1	"Uwanjani"	1	2									"APS_tz17_hh"	9					
9.0	40	2	"Miembeni A"	2	2									"APS_tz17_hh"	9					
9.0	41	3	"Miembeni B"	3	2									"APS_tz17_hh"	9					
9.0	42	4	"Makaburini A"	4	2									"APS_tz17_hh"	9					
9.0	43	5	"Makaburini B"	5	2									"APS_tz17_hh"	9					
9.0	44	6	"Nyumbani A"	6	2									"APS_tz17_hh"	9					
9.0	45	7	"Nyumbani B"	7	2									"APS_tz17_hh"	9					
9.0	46	8	"Nyumbani C"	8	2									"APS_tz17_hh"	9					
9.0	47	9	"Barabarani A"	9	2									"APS_tz17_hh"	9					
9.0	48	10	"Bareabarani B"	10	2									"APS_tz17_hh"	9					
9.0	49	11	"Mpakani"	11	6									"APS_tz17_hh"	9					
10.0	50	1	"Shambani"	1	2									"APS_tz17_hh"	10					
11.0	51	1	"Shamba dogo"	1	2									"APS_tz17_hh"	11					
11.0	52	2	"Bondeni"	2	2									"APS_tz17_hh"	11					
11.0	53	3	"Mpunga"	3	2									"APS_tz17_hh"	11					
11.0	54	4	"Shamba kubwa"	4	2									"APS_tz17_hh"	11					
11.0	55	5	"Nyumbani"	5	2									"APS_tz17_hh"	11					
11.0	56	6	"Bustani"	6	2									"APS_tz17_hh"	11					
11.0	57	7	"Juu"	7	2									"APS_tz17_hh"	11					
11.0	58	8	"Fallow"	8	2									"APS_tz17_hh"	11					
12.0	59	1	"Mahindi"	1	2									"APS_tz17_hh"	12					
12.0	60	2	"Mbaazi"	2	2									"APS_tz17_hh"	12					
12.0	61	3	"Mtama"	3	2									"APS_tz17_hh"	12					
12.0	62	4	"Bondeni"	4	2									"APS_tz17_hh"	12					
12.0	63	5	"Mpunga"	5	2									"APS_tz17_hh"	12					
12.0	64	6	"Ufuta"	6	2									"APS_tz17_hh"	12					
12.0	65	7	"Viazi"	7	2									"APS_tz17_hh"	12					
12.0	66	8	"Muhogo"	8	2									"APS_tz17_hh"	12					
12.0	67	9	"Alizeti"	9	2									"APS_tz17_hh"	12					
13.0	68	1	"Darajani"	1	2									"APS_tz17_hh"	13					
13.0	69	2	"Chereweni"	2	2									"APS_tz17_hh"	13					
13.0	70	3	"Mkungu"	3	2									"APS_tz17_hh"	13					
13.0	71	4	"Virgin"	4	8									"APS_tz17_hh"	13					
14.0	72	1	"Mtonya"	1	2									"APS_tz17_hh"	14					
14.0	73	2	"Mtonya"	2	2									"APS_tz17_hh"	14					
14.0	74	3	"Njengani"	3	2									"APS_tz17_hh"	14					
14.0	75	4	"Mkungu"	4	99									"APS_tz17_hh"	14					
15.0	76	1	"Nchikavu1"	1	2									"APS_tz17_hh"	15					
15.0	77	2	"Nchikavu2"	2	2									"APS_tz17_hh"	15					
15.0	78	3	"Nchikavu3"	3	2									"APS_tz17_hh"	15					
15.0	79	4	"Mtoni1"	4	2									"APS_tz17_hh"	15					
15.0	80	5	"Mtoni2"	5	2									"APS_tz17_hh"	15					
15.0	81	6	"Garden"	6	6									"APS_tz17_hh"	15					
16.0	82	1	"Maize and pegeon pea"	1	2									"APS_tz17_hh"	16					
16.0	83	2	"Tobacco"	2	2									"APS_tz17_hh"	16					
16.0	84	3	"Zanzibar"	3	2									"APS_tz17_hh"	16					
17.0	85	1	"Maize"	1	2									"APS_tz17_hh"	17					
17.0	86	2	"Maize"	2	2									"APS_tz17_hh"	17					
17.0	87	3	"Pigeon pea"	3	2									"APS_tz17_hh"	17					
18.0	88	1	"Darajani . Focal plot Maize Pigeonpea"	1	2									"APS_tz17_hh"	18					
18.0	89	2	"Rujijili. Pigeonpea"	2	2									"APS_tz17_hh"	18					
18.0	90	3	"Litandalimo. Maize Pigeonpea Simsim"	3	2									"APS_tz17_hh"	18					
18.0	91			4										"APS_tz17_hh"	18					
18.0	92			5										"APS_tz17_hh"	18					
18.0	93			6										"APS_tz17_hh"	18					
18.0	94			7										"APS_tz17_hh"	18					
18.0	95			8										"APS_tz17_hh"	18					
18.0	96			9										"APS_tz17_hh"	18					
18.0	97			10										"APS_tz17_hh"	18					
18.0	98			11										"APS_tz17_hh"	18					
18.0	99			12										"APS_tz17_hh"	18					
18.0	100			13										"APS_tz17_hh"	18					
18.0	101			14										"APS_tz17_hh"	18					
18.0	102			15										"APS_tz17_hh"	18					
18.0	103			16										"APS_tz17_hh"	18					
18.0	104			17										"APS_tz17_hh"	18					
18.0	105			18										"APS_tz17_hh"	18					
18.0	106			19										"APS_tz17_hh"	18					
18.0	107			20										"APS_tz17_hh"	18					
18.0	108			21										"APS_tz17_hh"	18					
18.0	109			22										"APS_tz17_hh"	18					
18.0	110			23										"APS_tz17_hh"	18					
19.0	111	1	"Darajani. Maize"	1	2									"APS_tz17_hh"	19					
19.0	112	2	"Darajani .Beans"	2	2									"APS_tz17_hh"	19					
19.0	113	3	"Garden. Amaranthus and Chinesse"	3	2									"APS_tz17_hh"	19					
19.0	114	4	"\"Rujiji. Maize, Pigeonpea\""	4	2									"APS_tz17_hh"	19					
20.0	115	1	"Namanyengele"	1	2									"APS_tz17_hh"	20					
20.0	116	2	"Namanyengele"	2	2									"APS_tz17_hh"	20					
20.0	117	3	"Namanyengele"	3	2									"APS_tz17_hh"	20					
20.0	118	4	"Mtesuka"	4	2									"APS_tz17_hh"	20					
20.0	119	5	"Bondeni"	5	2									"APS_tz17_hh"	20					
21.0	120	1	"Namanyengele"	1	2									"APS_tz17_hh"	21					
21.0	121	2	"Namanyengele"	2	2									"APS_tz17_hh"	21					
21.0	122	3	"Maposeni"	3	2									"APS_tz17_hh"	21					
21.0	123	4	"Bondeni"	4	2									"APS_tz17_hh"	21					
22.0	124	1	"Namnyengele"	1	2									"APS_tz17_hh"	22					
22.0	125	2	"Meleweni"	2	2									"APS_tz17_hh"	22					
23.0	126	1	"Namanyengele"	1	2									"APS_tz17_hh"	23					
23.0	127	2	"Nyumbani"	2	2									"APS_tz17_hh"	23					
23.0	128	3	"Shamba"	3	2									"APS_tz17_hh"	23					
24.0	129	1	"Mahindi"	1	2									"APS_tz17_hh"	24					
24.0	130	2	"\"Soya farm\n\""	2	2									"APS_tz17_hh"	24					
24.0	131	3	"Kibandani"	3	2									"APS_tz17_hh"	24					
24.0	132	4	"Manjonda"	4	2									"APS_tz17_hh"	24					
24.0	133	5	"Nyumbani"	5	2									"APS_tz17_hh"	24					
24.0	134	6	"Bustani"	6	2									"APS_tz17_hh"	24					
25.0	135	1	"Namanyere A"	1	2									"APS_tz17_hh"	25					
25.0	136	2	"Namanyere A"	2	2									"APS_tz17_hh"	25					
25.0	137	3	"3"	3	2									"APS_tz17_hh"	25					
25.0	138	4	"Namanyere C"	4	2									"APS_tz17_hh"	25					
25.0	139	5	"Bustani ya miwa"	5	6									"APS_tz17_hh"	25					
26.0	140	1	"Bondeni"	1	2									"APS_tz17_hh"	26					
26.0	141	2	"Bondeni2"	2	2									"APS_tz17_hh"	26					
26.0	142	3	"Mbaazi"	3	2									"APS_tz17_hh"	26					
26.0	143	4	"Mpunga"	4	2									"APS_tz17_hh"	26					
26.0	144	5	"Maize"	5	2									"APS_tz17_hh"	26					
26.0	145	6	"Pori"	6	2									"APS_tz17_hh"	26					
27.0	146	1	"Shamba jipya"	1	2									"APS_tz17_hh"	27					
27.0	147	2	"Bondeni"	2	2									"APS_tz17_hh"	27					
28.0	148	1	"Ng'ambo 1"	1	2									"APS_tz17_hh"	28					
28.0	149	2	"Ng'ambo2"	2	2									"APS_tz17_hh"	28					
28.0	150	3	"Ng'ambo3"	3	2									"APS_tz17_hh"	28					
28.0	151	4	"Ng'anbo4"	4	2									"APS_tz17_hh"	28					
28.0	152	5	"Ng'ambo5"	5	2									"APS_tz17_hh"	28					
29.0	153	1	"Mwembeni"	1	2									"APS_tz17_hh"	29					
29.0	154	2	"Kibandani"	2	2									"APS_tz17_hh"	29					
30.0	155	1	"Maize Pigeonpea"	1	2									"APS_tz17_hh"	30					
30.0	156	2	"Maize"	2	2									"APS_tz17_hh"	30					
31.0	157	1	"Kwenye vibanda ( shaman la Kati )"	1	2									"APS_tz17_hh"	31					
31.0	158	2	"Nyumbani 1"	2	2									"APS_tz17_hh"	31					
31.0	159	3	"3"	3	2									"APS_tz17_hh"	31					
31.0	160	4	"Nyumbani 2"	4	2									"APS_tz17_hh"	31					
31.0	161	5	"Maposeni"	5	2									"APS_tz17_hh"	31					
31.0	162	6	"Mtukano"	6	2									"APS_tz17_hh"	31					
32.0	163	1	"Mtukano 1"	1	2									"APS_tz17_hh"	32					
32.0	164	2	"Mtukano 2"	2	2									"APS_tz17_hh"	32					
32.0	165	3	"Ng'ambo"	3	2									"APS_tz17_hh"	32					
33.0	166	1	"Maize Pigeonpea"	1	2									"APS_tz17_hh"	33					
33.0	167	2	"\"Maize, Pigeonpea and Cowpea\""	2	2									"APS_tz17_hh"	33					
33.0	168	3	"Fallow"	3	2									"APS_tz17_hh"	33					
34.0	169	1	"Mtukano 1"	1	2									"APS_tz17_hh"	34					
34.0	170	2	"Mtesuka 1"	2	2									"APS_tz17_hh"	34					
34.0	171	3	"Home "	3	2									"APS_tz17_hh"	34					
34.0	172	4	"Mtukano 2"	4	2									"APS_tz17_hh"	34					
34.0	173	5	"Mtesuka 2"	5	2									"APS_tz17_hh"	34					
34.0	174	6	"Mtukano 3"	6	2									"APS_tz17_hh"	34					
35.0	175	1	"Mtesuka 1"	1	2									"APS_tz17_hh"	35					
35.0	176	2	"Mtesuka 2"	2	2									"APS_tz17_hh"	35					
35.0	177	3	"Mtesuka 3"	3	1	1	11	2	4	4				"APS_tz17_hh"	35					
35.0	178	4	"Namanyengele "	4	2									"APS_tz17_hh"	35					
36.0	179	1	"Liegeyo"	1	2									"APS_tz17_hh"	36					
36.0	180	2	"Liegeyo"	2	2									"APS_tz17_hh"	36					
36.0	181	3	"Liegeyo"	3	4									"APS_tz17_hh"	36					
36.0	182	4	"Liegeyo"	4	2									"APS_tz17_hh"	36					
37.0	183	1	"M inazini Kanisa la Upendo"	1	2									"APS_tz17_hh"	37					
37.0	184	2	"M inazini kanisa la Upendo"	2	2									"APS_tz17_hh"	37					
38.0	185	1	"Masimahu"	1	2									"APS_tz17_hh"	38					
38.0	186	2	"Masimahu"	2	2									"APS_tz17_hh"	38					
38.0	187	3	"Masimahu"	3	2									"APS_tz17_hh"	38					
38.0	188	4	"Masimahu"	4	2									"APS_tz17_hh"	38					
38.0	189	5	"Masimahu"	5	2									"APS_tz17_hh"	38					
39.0	190	1	"Namanyengele"	1	2									"APS_tz17_hh"	39					
39.0	191	2	".Kilimani"	2	2									"APS_tz17_hh"	39					
40.0	192	1	"Mtesuuka1"	1	2									"APS_tz17_hh"	40					
40.0	193	2	"Mtesuuka2"	2	2									"APS_tz17_hh"	40					
40.0	194	3	"Umelawene"	3	2									"APS_tz17_hh"	40					
40.0	195	4	"Mtesuuka3"	4	2									"APS_tz17_hh"	40					
41.0	196	1	"Maize"	1	2									"APS_tz17_hh"	41					
41.0	197	2	"Soya"	2	2									"APS_tz17_hh"	41					
41.0	198	3	"Pigeon pea"	3	2									"APS_tz17_hh"	41					
42.0	199	1	"Maize"	1	5									"APS_tz17_hh"	42					
42.0	200	2	"Jirani"	2	2									"APS_tz17_hh"	42					
42.0	201	3	"Milimani"	3	2									"APS_tz17_hh"	42					
42.0	202	4	"Garden"	4	6									"APS_tz17_hh"	42					
42.0	203	5	"Sweet potoes"	5	2									"APS_tz17_hh"	42					
43.0	204	1	"Mtimateke"	1	2									"APS_tz17_hh"	43					
43.0	205	2	"Mtimateke"	2	2									"APS_tz17_hh"	43					
43.0	206	3	"Mtimateke"	3	8									"APS_tz17_hh"	43					
44.0	207	1	"Mtimateke"	1	2									"APS_tz17_hh"	44					
44.0	208	2	"Mtimateke"	2	2									"APS_tz17_hh"	44					
44.0	209	3	"Rented"	3	2									"APS_tz17_hh"	44					
45.0	210	1	"Mtonya 1"	1	2									"APS_tz17_hh"	45					
45.0	211	2	"Mtonya 2"	2	6									"APS_tz17_hh"	45					
45.0	212	3	"Chileweni"	3	2									"APS_tz17_hh"	45					
45.0	213	4	"Mtonya 3"	4	6									"APS_tz17_hh"	45					
45.0	214	5	"Mtonya 4"	5	2									"APS_tz17_hh"	45					
45.0	215	6	"Mtonya 5"	6	1	0	2	1	1	1				"APS_tz17_hh"	45					
46.0	216	1	"Mtonya 1"	1	2									"APS_tz17_hh"	46					
46.0	217	2	"Mtonya 2"	2	2									"APS_tz17_hh"	46					
46.0	218	3	"Njengani 1"	3	2									"APS_tz17_hh"	46					
46.0	219	4	"Njengani 2"	4	2									"APS_tz17_hh"	46					
46.0	220	5	"Njengani 3"	5	2									"APS_tz17_hh"	46					
47.0	221	1	"Kolit 1"	1	2									"APS_tz17_hh"	47					
47.0	222	2	"Kolit 2"	2	2									"APS_tz17_hh"	47					
47.0	223	3	"Kolit 3"	3	2									"APS_tz17_hh"	47					
47.0	224	4	"Kolit 4"	4	6									"APS_tz17_hh"	47					
47.0	225	5	"Zomba"	5	2									"APS_tz17_hh"	47					
48.0	226	1	"Koliti 1"	1	2									"APS_tz17_hh"	48					
48.0	227	2	"Koliti 2"	2	2									"APS_tz17_hh"	48					
48.0	228	3	"Koliti Bondeni 1"	3	2									"APS_tz17_hh"	48					
48.0	229	4	"Koliti Bondeni 2"	4	2									"APS_tz17_hh"	48					
48.0	230	5	"Madimbeni"	5	6									"APS_tz17_hh"	48					
49.0	231	1	"Mtindilo 1"	1	2									"APS_tz17_hh"	49					
49.0	232	2	"Shuleni"	2	2									"APS_tz17_hh"	49					
49.0	233	3	"Mtindilo 2"	3	2									"APS_tz17_hh"	49					
49.0	234	4	"Mtindilo 3"	4	2									"APS_tz17_hh"	49					
49.0	235	5	"Laela"	5	2									"APS_tz17_hh"	49					
49.0	236	6	"Tukuyu 2"	6	2									"APS_tz17_hh"	49					
49.0	237	7	"Tukuyu 1"	7	2									"APS_tz17_hh"	49					
50.0	238	1	"Mteta"	1	2									"APS_tz17_hh"	50					
50.0	239	2	"Hakimu"	2	2									"APS_tz17_hh"	50					
51.0	240	1	"Nyumbani"	1	2									"APS_tz17_hh"	51					
51.0	241	2	"Mlimani"	2	2									"APS_tz17_hh"	51					
52.0	242	1	"Mtindilo 1"	1	2									"APS_tz17_hh"	52					
52.0	243	2	"Laela B"	2	2									"APS_tz17_hh"	52					
52.0	244	3	"Mtindilo 2"	3	2									"APS_tz17_hh"	52					
52.0	245	4	"Mtindilo  3"	4	2									"APS_tz17_hh"	52					
53.0	246	1	"Kona"	1	2									"APS_tz17_hh"	53					
53.0	247	2	"Kamsangati"	2	2									"APS_tz17_hh"	53					
53.0	248	3	"Shuleni"	3	2									"APS_tz17_hh"	53					
53.0	249	4	"Kontua"	4	2									"APS_tz17_hh"	53					
54.0	250	1	"Sekondari"	1	2									"APS_tz17_hh"	54					
54.0	251	2	"Sekondari juu"	2	2									"APS_tz17_hh"	54					
54.0	252	3	"Sekondari juu"	3	2									"APS_tz17_hh"	54					
55.0	253	1	"Mahindi"	1	2									"APS_tz17_hh"	55					
55.0	254	2	"Mbalala"	2	2									"APS_tz17_hh"	55					
55.0	255	3	"Chilemba"	3	2									"APS_tz17_hh"	55					
55.0	256	4	"Fallow"	4	2									"APS_tz17_hh"	55					
56.0	257	1	"\"Ndelema Farm, Common beans\""	1	1	0	2	1	1	1				"APS_tz17_hh"	56					
56.0	258	2	"\"Malambo Farm, Maize and Pumkings\""	2	2									"APS_tz17_hh"	56					
56.0	259	3	"\"Malambo Farm, Groundnut\""	3	2									"APS_tz17_hh"	56					
57.0	260	1	"Maharage"	1	2									"APS_tz17_hh"	57					
57.0	261	2	"Mahindi"	2	2									"APS_tz17_hh"	57					
57.0	262	3	"Mafuriko"	3	2									"APS_tz17_hh"	57					
58.0	263	1	"Mtindilo"	1	2									"APS_tz17_hh"	58					
58.0	264	2	"Mtindilo"	2	2									"APS_tz17_hh"	58					
58.0	265	3	"Garden"	3	2									"APS_tz17_hh"	58					
58.0	266	4	"Kamteza"	4	2									"APS_tz17_hh"	58					
59.0	267	1	"Mabustanini ( maize)"	1	2									"APS_tz17_hh"	59					
59.0	268	2	"Mabustanini (beans)"	2	2									"APS_tz17_hh"	59					
59.0	269	3	"Mabustanini"	3	2									"APS_tz17_hh"	59					
59.0	270	4	"Malambo"	4	2									"APS_tz17_hh"	59					
59.0	271	5	"Mlimani"	5	2									"APS_tz17_hh"	59					
59.0	272	6	"Nayula"	6	2									"APS_tz17_hh"	59					
60.0	273	1	"Secondary"	1	3									"APS_tz17_hh"	60					
60.0	274	2	"Mteta"	2	3									"APS_tz17_hh"	60					
60.0	275	3	"Mlimani"	3	4									"APS_tz17_hh"	60					
60.0	276	4	"Bondeni"	4	1	1	11	2	4	4				"APS_tz17_hh"	60					
60.0	277	5	"Secondary B"	5	3									"APS_tz17_hh"	60					
60.0	278	6	"Mteta B"	6	2									"APS_tz17_hh"	60					
61.0	279	1	"Secondary"	1	3									"APS_tz17_hh"	61					
61.0	280	2	"Katabi A"	2	3									"APS_tz17_hh"	61					
61.0	281	3	"Katabi B"	3	3									"APS_tz17_hh"	61					
61.0	282	4	"Kasazama"	4	3									"APS_tz17_hh"	61					
62.0	283	1	"Mahindi"	1	2									"APS_tz17_hh"	62					
62.0	284	2	"Maharage"	2	2									"APS_tz17_hh"	62					
62.0	285	3	"Kukodisha"	3	2									"APS_tz17_hh"	62					
62.0	286	4	"Mahindi"	4	2									"APS_tz17_hh"	62					
63.0	287	1	"Mahindi"	1	2									"APS_tz17_hh"	63					
63.0	288	2	"Maharage"	2	2									"APS_tz17_hh"	63					
63.0	289	3	"Fallow"	3	2									"APS_tz17_hh"	63					
63.0	290	4	"Mahindi"	4	2									"APS_tz17_hh"	63					
63.0	291	5	"Maharage"	5	2									"APS_tz17_hh"	63					
63.0	292	6	"Karanga"	6	2									"APS_tz17_hh"	63					
64.0	293	1	"Beans"	1	2									"APS_tz17_hh"	64					
64.0	294	2	"Maize"	2	2									"APS_tz17_hh"	64					
64.0	295	3	"Maize"	3	2									"APS_tz17_hh"	64					
64.0	296	4	"Bustani"	4	6									"APS_tz17_hh"	64					
65.0	297	1	"Kaluka"	1	2									"APS_tz17_hh"	65					
65.0	298	2	"Kaluka"	2	2									"APS_tz17_hh"	65					
66.0	299	1	"Simbakumtoni"	1	2									"APS_tz17_hh"	66					
66.0	300	2	"Simakumtoni"	2	2									"APS_tz17_hh"	66					
66.0	301	3	"Simbakumtoni"	3	2									"APS_tz17_hh"	66					
66.0	302	4	"Simbakutoni"	4	2									"APS_tz17_hh"	66					
66.0	303	5	"Simbakumtoni"	5	2									"APS_tz17_hh"	66					
66.0	304	6	"Simbakumtoni"	6	2									"APS_tz17_hh"	66					
67.0	305	1	"Simbamtoni"	1	2									"APS_tz17_hh"	67					
67.0	306	2	"Simbakumtoni"	2	1	1	11	2	2	2				"APS_tz17_hh"	67					
67.0	307	3	"Simbakumtoni"	3	2									"APS_tz17_hh"	67					
68.0	308	1	"Kasapa1"	1	2									"APS_tz17_hh"	68					
68.0	309	2	"Kasapa2"	2	2									"APS_tz17_hh"	68					
68.0	310	3	"2"	3	2									"APS_tz17_hh"	68					
68.0	311	4	"Kasapa4"	4	2									"APS_tz17_hh"	68					
69.0	312	1	"Mbugani1"	1	2									"APS_tz17_hh"	69					
69.0	313	2	"Mbugani2"	2	2									"APS_tz17_hh"	69					
69.0	314	3	"Nyumbani2"	3	2									"APS_tz17_hh"	69					
69.0	315	4	"Nyumbani2"	4	2									"APS_tz17_hh"	69					
70.0	316	1	"Chatwalaenza"	1	2									"APS_tz17_hh"	70					
70.0	317	2	"Cassava"	2	2									"APS_tz17_hh"	70					
70.0	318	3	"Tobacco"	3	2									"APS_tz17_hh"	70					
70.0	319	4	"Fallow"	4	2									"APS_tz17_hh"	70					
70.0	320	5	"Fallow 2"	5	2									"APS_tz17_hh"	70					
71.0	321	1	"Ivunje"	1	2									"APS_tz17_hh"	71					
71.0	322	2	"Bustani"	2	2									"APS_tz17_hh"	71					
71.0	323	3	"Simbakumtoni"	3	1	0	2	1	1	1				"APS_tz17_hh"	71					
71.0	324	4	"Fallow"	4	2									"APS_tz17_hh"	71					
72.0	325	1	"\"Beans , Chipoma farm\""	1	1	0	2	1	1	1				"APS_tz17_hh"	72					
72.0	326	2	"\"Groundnut, Chipoma farm\""	2	2									"APS_tz17_hh"	72					
72.0	327	3	"\"Finger Millet, Chipoma farm\""	3	2									"APS_tz17_hh"	72					
72.0	328	4	"\"Maize, Chipoma farm\""	4	2									"APS_tz17_hh"	72					
73.0	329	1	"\"Fallow, Msakato farm\""	1	2									"APS_tz17_hh"	73					
73.0	330	2	"\"Sorghum and Maize, Msakato farm\""	2	2									"APS_tz17_hh"	73					
73.0	331	3	"\"Virgin Land, Msakato farm\""	3	8									"APS_tz17_hh"	73					
73.0	332	4	"\"Maize, Bondeni farm\""	4	2									"APS_tz17_hh"	73					
73.0	333	5	"\"Beans, Bondeni farm\""	5	1	0	2	1	1	1				"APS_tz17_hh"	73					
74.0	334	1	"\"Maize cowpea, Kitosi farm\""	1	2									"APS_tz17_hh"	74					
74.0	335	2	"\"Sunflower, Vigongo farm\""	2	2									"APS_tz17_hh"	74					
74.0	336	3	"\"Sweet potato, Mbugani farms\""	3	2									"APS_tz17_hh"	74					
74.0	337	4	"\"Maize, Mbugani Farms\""	4	2									"APS_tz17_hh"	74					
74.0	338	5	"\"Groundnut, Mbugani farms\""	5	2									"APS_tz17_hh"	74					
74.0	339	6	"\"Virgin Land for grazing, Mbugani farms\""	6	3									"APS_tz17_hh"	74					
75.0	340	1	"Bondeni"	1	2									"APS_tz17_hh"	75					
76.0	341	1	"Kigongo"	1	2									"APS_tz17_hh"	76					
76.0	342	2	"Alizeti"	2	2									"APS_tz17_hh"	76					
76.0	343	3	"Nyumbani"	3	2									"APS_tz17_hh"	76					
77.0	344	1	"IVUNJE 1"	1	2									"APS_tz17_hh"	77					
77.0	345	2	"IVUNJE"	2	2									"APS_tz17_hh"	77					
78.0	346	1	"Mkombo"	1	3									"APS_tz17_hh"	78					
78.0	347	2	"Mkombo juu"	2	3									"APS_tz17_hh"	78					
79.0	348	1	"Mahindi"	1	3									"APS_tz17_hh"	79					
79.0	349	2	"Mahindi"	2	2									"APS_tz17_hh"	79					
79.0	350	3	"Chini"	3	2									"APS_tz17_hh"	79					
79.0	351	4	"Kusin"	4	2									"APS_tz17_hh"	79					
80.0	352	1	"Mahindi"	1	1	0	2	1	1	1				"APS_tz17_hh"	80					
80.0	353	2	"Karanga"	2	2									"APS_tz17_hh"	80					
80.0	354	3	"Manyekani mahindi"	3	2									"APS_tz17_hh"	80					
80.0	355	4	"Manyekani"	4	2									"APS_tz17_hh"	80					
80.0	356	5	"Machungani"	5	3									"APS_tz17_hh"	80					
81.0	357	1	"Machele A"	1	3									"APS_tz17_hh"	81					
81.0	358	2	"Machele B"	2	3									"APS_tz17_hh"	81					
81.0	359	3	"Nyumbani 1"	3	3									"APS_tz17_hh"	81					
81.0	360	4	"Nyumbani 2"	4	3									"APS_tz17_hh"	81					
82.0	361	1	"Mbugani"	1	3									"APS_tz17_hh"	82					
82.0	362	2	"Kigongo A"	2	3									"APS_tz17_hh"	82					
82.0	363	3	"Kigongo B"	3	3									"APS_tz17_hh"	82					
82.0	364	4	"Kigongo C"	4	3									"APS_tz17_hh"	82					
83.0	365	1	"kwa seve"	1	2									"APS_tz17_hh"	83					
83.0	366	2	"Kwa seve"	2	2									"APS_tz17_hh"	83					
83.0	367	3	"Kwa seve"	3	2									"APS_tz17_hh"	83					
83.0	368	4	"Kwa seve"	4	1	0	2	1	1	1				"APS_tz17_hh"	83					
83.0	369	5	"Kwa seve"	5	1	0	2	1	1	1				"APS_tz17_hh"	83					
84.0	370	1	"Focal plot"	1	2									"APS_tz17_hh"	84					
84.0	371	2	"Chipoma"	2	1	0	2	1	1	1				"APS_tz17_hh"	84					
84.0	372	3	"Chipoma"	3	2									"APS_tz17_hh"	84					
84.0	373	4	"Chipoma"	4	2									"APS_tz17_hh"	84					
84.0	374	5	"Chipoma"	5	2									"APS_tz17_hh"	84					
84.0	375	6	"Fallow"	6	2									"APS_tz17_hh"	84					
85.0	376	1	"Machele"	1	3									"APS_tz17_hh"	85					
85.0	377	2	"Machele"	2	3									"APS_tz17_hh"	85					
85.0	378	3	"Machele"	3	3									"APS_tz17_hh"	85					
86.0	379	1	"Mkombo"	1	3									"APS_tz17_hh"	86					
